,cid,uniprot_id,tag,type,label,pdb_id
39331,25023794,O15379,train,-,1,4a69B
48746,71077045,P31639,train,-,1,2xq2A
31824,58881789,P45983,train,-,0,2xs0A
21025,91799572,P68400,train,-,1,4md8H
32947,91928591,P52333,train,-,1,3lxlA
29772,71488840,O00408,train,-,1,3ibjB
49770,54771744,O00421,train,-,1,5uiwA
10120,5330059,P12931,train,-,1,2h8hA
51916,71680307,P49682,train,-,1,2lnlA
3869,91819728,P56817,train,-,1,6ej3A
56925,881898,Q13887,dev,-,0,2ebtA
10948,891545,P55055,train,-,0,1upwA
3202,11584508,Q13133,train,-,1,5hjsB
24735,51361196,O95551,train,-,0,5inoB
40547,60151821,Q9GZT9,train,-,0,5ox6A
50588,68161736,P22607,test,seen,1,4k33A
3776,45380935,P56817,train,-,1,6ej3A
24797,90645399,P27338,train,-,0,2c75B
12456,215090,P34949,train,-,0,5nw7A
7133,843742,Q9Y4P1,train,-,0,2d1iB
22419,646236,P53779,train,-,0,3ttjA
5595,2111478,Q04637,train,-,0,1ug3B
29617,5353,O00408,train,-,0,3ibjB
26012,3218139,P35372,train,-,0,6ddfR
46228,91970648,Q12888,train,-,0,5ecgD
19296,44142016,O14786,train,-,0,4gzaH
16233,368866,Q07817,train,-,0,1mazA
49671,16735162,P18858,train,-,1,1x9nA
6841,68405540,O60563,train,-,1,3tniB
26363,40588499,Q9Y239,test,seen,0,4e9mF
45603,117876806,Q02750,dev,-,1,5kkrC
37634,10172292,P10586,dev,-,0,1larB
52885,68424440,Q495T6,train,-,1,5v48B
17462,750947,Q92731,train,-,0,1qkmA
20551,2998662,P17612,train,-,0,4ae9B
57530,89967444,Q9Y5X9,test,unseen,1,1n8sA
44259,18922481,Q9UBU7,train,-,0,4f9cB
18703,1245566,P22736,train,-,0,2qw4D
45319,46398839,P14324,train,-,0,2opnA
3321,3095208,Q9UBE0,train,-,0,3kydA
29467,89653999,P17948,train,-,1,5t89Y
40250,70498535,P41594,train,-,1,3lmkB
370,91897233,P14598,train,-,0,1kq6A
51231,5335,P33260,train,-,0,1nr6A
39690,89472841,Q15910,train,-,1,6c24C
48214,66715232,Q14680,train,-,1,4ixpA
45079,149790,Q9HCR9,train,-,0,3bjcA
14317,54726714,P22303,train,-,1,4bdtA
38983,68767109,P41597,train,-,1,5t1aA
23391,3816676,P55211,train,-,0,1jxqD
22163,91970640,Q96JM7,train,-,0,4fl6B
6128,10320381,P06241,train,-,1,2h8hA
23440,3800684,P55211,train,-,0,1jxqD
53855,11493187,P03372,test,unseen,0,2ocfA
42745,1328033,Q9NTG7,train,-,0,5y4hA
50783,117793073,Q9HBH9,train,-,1,2ac3A
38802,3242857,P30305,train,-,0,1qb0A
25073,72190499,P27338,test,seen,0,2c75B
13589,44132744,P11802,train,-,1,3g33C
4880,847161,P05186,train,-,0,4kjgB
18323,1081556,P00519,train,-,0,1oplB
24068,72548912,P11309,train,-,1,4rpvA
44335,3062316,Q15418,train,-,0,4nifD
27028,10621170,P24530,train,-,0,5xprA
35487,91799495,Q9Y233,train,-,1,4dffB
4487,1834960,Q9HC97,train,-,0,5xszA
53540,7026334,P03372,dev,-,0,2ocfA
41070,670281,P04406,train,-,0,1znqQ
13906,22333190,Q9HC16,train,-,0,2mzzA
40129,66555984,P31751,dev,-,1,5kcvA
46125,49792852,P33981,train,-,0,2zmcA
39500,60152011,Q96S37,train,-,1,4j05B
6860,118274198,O60563,train,-,1,3tniB
45927,91896083,Q96RI1,train,-,1,3bejB
27459,2726,Q9Y5S8,train,-,0,5o0tA
37878,59492887,Q15119,train,-,0,5j71A
51266,91934228,P43004,train,-,0,5lm4A
30743,118159066,P31749,train,-,1,4ejnA
51100,24881406,Q969S8,train,-,1,5td7A
31887,50942980,P45983,train,-,1,2xs0A
41176,86279477,Q99572,train,-,1,5u2hB
23350,46886033,Q92753,train,-,0,1n4hA
43034,10553384,P25101,train,-,1,5xprA
45451,24968229,Q02750,train,-,1,5kkrC
24760,279291,O95551,train,-,0,5inoB
46830,86293208,P50750,train,-,1,4ec9A
55138,119098907,P43405,dev,-,1,4fl2A
38593,7619145,P23946,train,-,0,1kltA
35990,74539755,Q9Y233,train,-,1,4dffB
25042,571818,P27338,dev,-,0,2c75B
18289,11701569,P21397,test,seen,1,2bxsB
42441,89476726,P13866,train,-,1,3dh4D
43212,58190605,P08581,train,-,1,2uzyD
46381,86293161,P25440,train,-,1,4uygF
52053,118159363,P46095,train,-,1,3v2yA
20796,14791364,P06239,train,-,0,2hckB
19482,44144348,O14786,dev,-,0,4gzaH
8342,44280546,O76074,train,-,1,3bjcA
56542,68234668,P10635,test,unseen,0,5tfuD
52482,59186870,P34998,train,-,1,4z9gC
6300,5122527,Q9GZR1,train,-,0,3eayA
25636,60142489,P10619,train,-,1,4cibA
50091,5280567,Q00796,train,-,0,1pl8D
29743,71093703,O00408,train,-,1,3ibjB
36452,58546848,Q9Y233,train,-,1,4dffB
40522,68297176,Q9GZT9,train,-,0,5ox6A
37992,46191618,Q15119,train,-,1,5j71A
673,91897253,P14598,train,-,0,1kq6A
34973,68768923,Q12809,train,-,0,5va2A
31339,1375610,P41235,train,-,0,4iqrF
790,339661,P14598,train,-,0,1kq6A
3918,78321990,P56817,train,-,1,6ej3A
34490,92044840,P28482,train,-,1,4qpaB
56456,52933794,P10635,dev,-,0,5tfuD
50391,44548048,P22607,train,-,1,4k33A
45614,25024881,Q16769,train,-,0,4ywyC
50348,50938730,P22607,train,-,1,4k33A
15202,91937557,Q7Z2W7,train,-,1,6bpqD
56781,10691652,P04626,dev,-,1,3rcdD
49528,118206612,Q9NWZ3,train,-,1,4rmzB
40032,11489861,P31751,train,-,1,5kcvA
46414,86292780,P25440,train,-,1,4uygF
43298,71699909,P08581,train,-,1,2uzyD
55688,71233678,P43405,dev,-,1,4fl2A
6661,89492373,P42785,train,-,1,3n2zB
29158,50939224,P11362,test,seen,1,1evtD
14204,10871427,P22303,train,-,0,4bdtA
29730,60163503,O00408,train,-,1,3ibjB
35209,90117647,Q9Y233,train,-,1,4dffB
14712,12855,P09619,train,-,0,3mjgY
12268,805690,Q15788,train,-,0,5nwxA
24938,71150038,P27338,train,-,0,2c75B
24856,123131750,P27338,train,-,0,2c75B
5690,1331726,Q04637,train,-,0,1ug3B
13310,58300158,P11802,train,-,1,3g33C
40228,89979971,P41594,train,-,1,3lmkB
41254,86279742,Q99572,train,-,1,5u2hB
25007,5723719,P27338,train,-,1,2c75B
24667,1084013,O95551,train,-,0,5inoB
27368,24901616,P09960,train,-,1,5fwqA
19558,52933057,P36888,train,-,1,3qs9H
52975,4521392,P37173,train,-,1,5e92A
9557,17759555,P12931,train,-,0,2h8hA
54670,51029905,P78536,dev,-,1,3g42D
6685,9871029,P04070,train,-,0,1autC
50105,46830335,P35462,train,-,0,3pblB
23197,23646933,Q02763,train,-,1,4k0vA
30991,24993189,P49841,train,-,0,4iq6B
28,2234049,Q05397,train,-,0,2j0jA
32670,44315148,P49354,train,-,1,3e37A
14487,10708835,Q05655,train,-,0,1xjdA
56969,91801105,Q14164,dev,-,1,4iwqA
6377,1994324,Q9GZR1,train,-,0,3eayA
56694,10146934,P17706,dev,-,1,1l8kA
38457,71230704,Q9UBN7,train,-,0,5g0iB
38562,44551271,Q9UBN7,dev,-,0,5g0iB
15898,2385758,P31941,test,seen,0,2m65A
52039,118159238,P46095,train,-,1,3v2yA
16429,6538779,Q00535,train,-,0,3o0gB
17761,2802138,Q9C000,train,-,0,4im6A
52283,68323401,Q15349,train,-,1,3g51A
27909,118013312,P48067,train,-,1,4xptA
25470,6918548,P10275,train,-,1,5cj6A
19354,91899523,O14786,train,-,0,4gzaH
26601,67502811,P04629,train,-,1,2ifgB
36450,71288717,Q9Y233,train,-,1,4dffB
50414,68163172,P22607,train,-,1,4k33A
12455,877490,P34949,train,-,0,5nw7A
29042,66556938,P11362,train,-,1,1evtD
10545,1111773,Q9HC29,train,-,0,5irnA
41414,117925712,Q06187,train,-,1,4xi2A
16252,2940938,Q07817,train,-,0,1mazA
1878,619089,P24941,train,-,0,5lmkA
19381,1825554,O14786,train,-,0,4gzaH
57731,10578969,P25103,dev,-,1,2ksbA
59,1474968,Q05397,train,-,0,2j0jA
26467,67500168,P04629,train,-,1,2ifgB
55675,119099033,P43405,dev,-,1,4fl2A
7190,11834625,Q9Y4P1,train,-,0,2d1iB
10612,2985508,Q9HC29,dev,-,0,5irnA
13011,11581762,P11802,train,-,0,3g33C
57963,91931308,P30968,dev,-,1,4s0vA
27537,124221433,P20813,train,-,0,5wbgF
39260,71467631,O15379,train,-,1,4a69B
36827,17563969,P21554,train,-,0,5u09A
33254,50997116,P52333,test,seen,1,3lxlA
13801,2099546,Q9HC16,train,-,0,2mzzA
8394,44402077,O76074,train,-,1,3bjcA
28116,68078933,Q96GD4,train,-,1,4af3A
31867,58881868,P45983,train,-,0,2xs0A
56442,49800475,P10635,dev,-,0,5tfuD
805,1232314,P14598,train,-,0,1kq6A
15754,6869156,P31941,train,-,0,2m65A
48481,57698299,Q13946,train,-,1,4y2bA
12164,91928843,P24557,train,-,1,5vcgA
44069,89472128,P53634,train,-,1,4oemA
22420,3243213,P53779,train,-,0,3ttjA
22376,648756,P53779,train,-,0,3ttjA
2545,90643511,P24941,dev,-,0,5lmkA
13200,58299949,P11802,train,-,1,3g33C
49278,118206656,Q9NWZ3,train,-,1,4rmzB
32327,23648438,P25774,train,-,1,2c0yA
4753,1357397,P05186,train,-,0,4kjgB
31229,6539613,P49841,train,-,1,4iq6B
16692,54596421,O14757,train,-,1,3tkiA
10843,1345238,P07900,train,-,0,5fwpB
41108,72279,O15296,train,-,0,4nreA
25914,11719421,P04049,train,-,1,3omvB
19740,2727812,Q9GZU7,train,-,0,1ta0A
47972,66715635,Q14680,train,-,1,4ixpA
52821,3081160,P52788,train,-,1,3c6mD
45989,86292780,Q15059,train,-,1,2yw5A
38303,67476262,O15530,train,-,1,1uu8A
57939,90656372,P11473,dev,-,1,4g2iA
43061,9956918,P25101,test,seen,1,5xprA
34540,118381259,P28482,train,-,1,4qpaB
19009,6763,Q14289,train,-,0,4ekuA
35641,90644310,Q9Y233,train,-,1,4dffB
24950,118117193,P27338,train,-,0,2c75B
1544,10447425,P23219,train,-,0,1eqhB
55698,58093197,P43405,test,unseen,0,4fl2A
1510,44271388,P23219,train,-,0,1eqhB
33016,50996582,P52333,train,-,1,3lxlA
48703,49846440,P31639,train,-,1,2xq2A
27691,4424079,P42224,train,-,0,1yvlB
28706,5328523,P11362,train,-,0,1evtD
36562,71295953,P16050,train,-,0,2p0mB
17979,3142290,P51843,train,-,0,3f5cC
45535,24968576,Q02750,train,-,1,5kkrC
6767,50906397,O60563,train,-,1,3tniB
36395,58548657,Q9Y233,train,-,1,4dffB
7402,5329253,P00533,train,-,0,5xwdA
6982,68405503,O60563,train,-,1,3tniB
40101,68753749,P31751,train,-,1,5kcvA
41085,3453217,P04406,train,-,0,1znqQ
1643,44378194,P23219,train,-,0,1eqhB
17696,5753,O15245,test,seen,0,4ldsB
25149,90645309,P05177,train,-,0,2hi4A
53297,16197202,O14672,test,unseen,0,6be6D
26828,11516485,P04629,train,-,1,2ifgB
279,58522633,Q05397,train,-,1,2j0jA
1429,10549551,P23219,train,-,0,1eqhB
7594,447721,P00533,train,-,0,5xwdA
36127,53252088,Q9Y233,train,-,1,4dffB
13448,58299785,P11802,train,-,1,3g33C
13345,66549646,P11802,train,-,1,3g33C
55158,119099025,P43405,dev,-,1,4fl2A
23682,71075282,P37231,train,-,1,3e00D
45008,44382649,P05556,train,-,1,4wk4B
48829,11497455,P07333,train,-,1,4liqE
24047,91937621,P11309,train,-,1,4rpvA
4136,90413745,P56817,train,-,1,6ej3A
80,216239,Q05397,train,-,0,2j0jA
22670,86766882,Q00987,train,-,1,4xxbB
56036,53235507,P43405,test,unseen,1,4fl2A
47907,68298642,Q14680,train,-,1,4ixpA
6421,2054727,Q9GZR1,train,-,0,3eayA
54524,20936506,P78536,dev,-,0,3g42D
8043,5329035,P00533,dev,-,1,5xwdA
5814,16188951,Q04637,train,-,0,1ug3B
17241,12242324,P00374,train,-,0,1hfqA
19954,58315474,P06493,train,-,0,4yc6G
31041,385070,P49841,train,-,1,4iq6B
13919,944467,Q9HC16,train,-,0,2mzzA
7951,57335955,P00533,train,-,1,5xwdA
12452,6033619,P34949,train,-,0,5nw7A
3128,4581,P03951,train,-,0,2f83A
56495,71305058,P10635,dev,-,0,5tfuD
31181,44590237,P49841,train,-,1,4iq6B
31827,1955904,P45983,train,-,0,2xs0A
48929,52933302,P07333,train,-,1,4liqE
27309,44318454,P14416,train,-,1,6cm4A
55093,86766343,P43405,dev,-,1,4fl2A
27827,2756,O15244,train,-,0,4ldsB
9530,10204357,P35968,test,seen,1,3v2aR
26927,121231247,P04629,train,-,1,2ifgB
57333,73506678,Q9Y5X9,dev,-,1,1n8sA
32443,38853,P32929,train,-,0,3elpD
4874,3483852,P05186,train,-,0,4kjgB
15569,665037,P41145,test,seen,0,6b73B
4447,72705234,P56817,dev,-,1,6ej3A
52979,5328940,Q8N4C8,train,-,1,2x7fE
9941,59837623,P12931,train,-,1,2h8hA
20917,44293722,P06239,dev,-,1,2hckB
51123,49792852,O43683,train,-,0,4qpmB
51771,25207499,P16473,train,-,1,3g04C
7710,42611257,P00533,train,-,0,5xwdA
18105,42618008,P21397,train,-,0,2bxsB
14640,5328485,P09619,train,-,0,3mjgY
42310,90657015,P13866,train,-,1,3dh4D
55701,5329181,P43405,test,unseen,0,4fl2A
42536,89476585,P13866,train,-,1,3dh4D
24936,10286,P27338,train,-,0,2c75B
54183,11497455,P11712,dev,-,0,5x23A
35536,91799503,Q9Y233,train,-,1,4dffB
19105,4884550,O14786,train,-,0,4gzaH
39047,156422,O00141,test,seen,0,3hdnA
32470,86293539,O60885,train,-,1,4uydA
48515,76192010,P08631,train,-,1,5h0hA
25137,67202442,P05177,train,-,0,2hi4A
31127,6539399,P49841,train,-,1,4iq6B
789,4095186,P14598,train,-,0,1kq6A
45694,2813415,P34913,train,-,0,6aumA
45505,117890054,Q02750,train,-,1,5kkrC
14761,5329273,P09619,train,-,0,3mjgY
42748,90654862,Q9NTG7,train,-,0,5y4hA
19249,3238260,O14786,train,-,0,4gzaH
56981,71295086,Q14164,dev,-,1,4iwqA
32393,44600089,P29474,train,-,0,5vvdD
36427,54760284,Q9Y233,train,-,1,4dffB
14047,5280704,P22303,train,-,0,4bdtA
160,58522530,Q05397,train,-,1,2j0jA
20959,90654798,P68400,train,-,0,4md8H
6948,118274332,O60563,train,-,1,3tniB
41751,90008650,Q06187,test,seen,1,4xi2A
10107,91799553,P12931,train,-,1,2h8hA
45443,9927943,Q02750,train,-,0,5kkrC
15763,6860704,P31941,train,-,0,2m65A
31070,23729136,P49841,train,-,1,4iq6B
46153,54765930,P33981,train,-,1,2zmcA
6932,68405537,O60563,train,-,1,3tniB
10894,44183289,P07900,train,-,1,5fwpB
39326,45138932,O15379,train,-,1,4a69B
16149,4829397,O15305,dev,-,0,2q4rA
47804,72279,Q9NY33,train,-,0,3t6jA
24224,72549613,P11309,train,-,1,4rpvA
4178,11578023,P56817,train,-,1,6ej3A
57507,89962107,Q9Y5X9,test,unseen,1,1n8sA
22532,2868371,P53779,test,seen,0,3ttjA
35388,91799501,Q9Y233,train,-,1,4dffB
51872,71679632,P49682,train,-,1,2lnlA
46037,91826378,Q15059,train,-,1,2yw5A
40919,68004761,P21802,train,-,1,2psqB
4855,24178146,P05186,train,-,0,4kjgB
55463,119098937,P43405,dev,-,1,4fl2A
30885,68755128,P31749,test,seen,1,4ejnA
53712,2612432,P03372,test,unseen,0,2ocfA
52738,90074198,P49768,train,-,1,5fn5B
24983,61833723,P27338,train,-,1,2c75B
33543,118365323,P28482,train,-,1,4qpaB
45782,24849911,P34913,train,-,1,6aumA
53841,91896435,P03372,test,unseen,0,2ocfA
703,4287001,P14598,train,-,0,1kq6A
6776,68405633,O60563,train,-,1,3tniB
29717,90654180,O00408,train,-,1,3ibjB
53315,2116235,O14672,test,unseen,0,6be6D
29341,6540024,P11511,train,-,1,5jl9A
43634,23647770,P50579,train,-,1,1b6aA
18579,91970644,P29375,train,-,0,5v9tB
45176,44516035,P04150,train,-,1,4udcA
571,1118039,P14598,train,-,0,1kq6A
4185,67615971,P56817,train,-,1,6ej3A
17911,17757134,P27815,dev,-,0,4x0fB
47828,66716163,Q14680,train,-,1,4ixpA
32723,1485415,P52333,train,-,0,3lxlA
54224,90644770,P11712,dev,-,0,5x23A
40884,10168739,P08575,train,-,0,1yguB
1094,5340690,P14598,test,seen,0,1kq6A
47979,86692932,Q14680,train,-,1,4ixpA
48888,52936036,P07333,train,-,1,4liqE
12008,10686657,P24557,train,-,0,5vcgA
18327,90654799,P00519,train,-,0,1oplB
33306,9572657,O96017,train,-,0,1gxcJ
46957,90412762,P50750,train,-,1,4ec9A
13964,2208336,Q9HC16,train,-,0,2mzzA
11661,66551285,Q8NER1,train,-,1,5is0E
23040,86767020,Q00987,train,-,1,4xxbB
24970,90656448,P27338,train,-,1,2c75B
49421,118206130,Q9NWZ3,train,-,1,4rmzB
52384,56602713,Q05469,train,-,1,4ypvA
50473,68169809,P22607,train,-,1,4k33A
5467,24746457,Q16539,test,seen,1,3mptA
47846,66715861,Q14680,train,-,1,4ixpA
2097,6539022,P24941,train,-,1,5lmkA
11145,16049475,P55055,train,-,1,1upwA
55555,86766480,P43405,dev,-,1,4fl2A
2822,10114,P35236,train,-,0,1zc0A
18330,90655145,P00519,train,-,0,1oplB
23023,71585881,Q00987,train,-,1,4xxbB
56550,16072099,P10635,test,unseen,0,5tfuD
28022,5320844,Q96GD4,train,-,0,4af3A
11187,11713433,P55055,dev,-,1,1upwA
30084,2054025,P84022,dev,-,0,1khxA
22444,665762,P53779,train,-,0,3ttjA
32080,714070,P25774,train,-,0,2c0yA
49276,118206886,Q9NWZ3,train,-,1,4rmzB
38590,57340235,P23946,train,-,0,1kltA
28477,22337167,Q08499,train,-,1,4x0fB
2770,2886570,P35236,train,-,0,1zc0A
16828,54596282,O14757,test,seen,1,3tkiA
20339,44385264,P06493,train,-,1,4yc6G
26310,3237441,Q9Y239,train,-,0,4e9mF
19728,652554,Q9GZU7,train,-,0,1ta0A
7297,519420,P00533,train,-,0,5xwdA
14744,5328730,P09619,train,-,0,3mjgY
53018,1727782,O14672,dev,-,0,6be6D
27296,9906777,P14416,train,-,0,6cm4A
44353,4740,Q13231,dev,-,0,5hbfB
39927,10289038,P31751,train,-,0,5kcvA
1606,22911939,P23219,train,-,0,1eqhB
30192,117700816,P31749,train,-,0,4ejnA
8268,44321231,O76074,train,-,0,3bjcA
11252,91895753,Q86TI2,train,-,0,6eorD
54526,44144325,P78536,dev,-,0,3g42D
45206,44517310,P04150,dev,-,1,4udcA
10811,661924,P07900,train,-,0,5fwpB
3072,894122,P03951,train,-,0,2f83A
55777,71233706,P43405,test,unseen,1,4fl2A
38458,44369352,Q9UBN7,train,-,0,5g0iB
31193,6539555,P49841,train,-,1,4iq6B
30334,89442703,P31749,train,-,1,4ejnA
44274,91970649,Q9Y468,train,-,0,3oq5C
3516,1117870,Q9Y6Q9,train,-,0,5nwxA
34054,66558095,P28482,train,-,1,4qpaB
45539,117876240,Q02750,train,-,1,5kkrC
4536,4292126,Q9HC97,train,-,0,5xszA
14930,10039460,P09619,train,-,1,3mjgY
14662,5328731,P09619,train,-,0,3mjgY
19424,984194,O14786,train,-,0,4gzaH
2076,6539007,P24941,train,-,0,5lmkA
16267,25093275,Q07817,train,-,0,1mazA
34096,118045787,P28482,train,-,1,4qpaB
28337,71821,P24468,train,-,0,3cjwA
37942,59492490,Q15119,train,-,1,5j71A
22567,16090444,Q00987,train,-,0,4xxbB
41760,2092,Q9UK17,train,-,0,2i2rL
52219,68323547,Q15349,train,-,1,3g51A
8627,91970648,O43189,train,-,0,5xfpE
50713,117793146,Q9HBH9,train,-,1,2ac3A
24765,16727377,O95551,train,-,0,5inoB
9292,51001624,P35968,train,-,1,3v2aR
52472,51352161,P34998,train,-,1,4z9gC
39735,77935556,Q15910,train,-,1,6c24C
44785,1373945,Q99685,train,-,0,4uuqB
40292,73334944,P41594,train,-,1,3lmkB
28264,3035241,Q96GD4,dev,-,0,4af3A
45742,44417013,P34913,train,-,1,6aumA
45006,44324730,P05556,train,-,1,4wk4B
42307,89476615,P13866,train,-,1,3dh4D
28201,66762385,Q96GD4,train,-,1,4af3A
18453,5330081,P00519,train,-,1,1oplB
55770,66959502,P43405,test,unseen,1,4fl2A
55400,71233690,P43405,dev,-,1,4fl2A
20064,69689,P06493,train,-,0,4yc6G
44348,24755478,Q13231,train,-,0,5hbfB
2109,5329639,P24941,train,-,1,5lmkA
43799,46843405,P35916,train,-,0,4aseA
54210,4048115,P11712,dev,-,0,5x23A
30065,2258,P84022,train,-,0,1khxA
46142,54766248,P33981,train,-,1,2zmcA
2467,9836341,P24941,train,-,1,5lmkA
41622,69670273,Q06187,train,-,1,4xi2A
2730,656259,P35236,train,-,0,1zc0A
36074,58546827,Q9Y233,train,-,1,4dffB
54528,4834110,P78536,dev,-,0,3g42D
26928,90683970,P04629,train,-,1,2ifgB
26360,44251463,Q9Y239,dev,-,0,4e9mF
56631,52935603,P10635,test,unseen,0,5tfuD
34192,118365107,P28482,train,-,1,4qpaB
23753,71075168,P37231,train,-,1,3e00D
43936,90430671,P53634,train,-,1,4oemA
7097,90645089,O60563,dev,-,0,3tniB
24185,46186003,P11309,train,-,1,4rpvA
7725,707914,P00533,train,-,0,5xwdA
32559,91826307,O60885,test,seen,0,4uydA
1988,58315406,P24941,train,-,0,5lmkA
8539,44336924,O76074,train,-,1,3bjcA
12526,25241700,P34949,train,-,0,5nw7A
43704,23647779,P50579,train,-,1,1b6aA
39221,91669175,O15379,train,-,1,4a69B
29527,54765514,P36897,train,-,1,3kcfE
57372,89967523,Q9Y5X9,dev,-,1,1n8sA
40442,57520407,Q9Y5Z0,train,-,1,3zlqB
3496,2735289,Q9Y6Q9,train,-,0,5nwxA
19436,44143928,O14786,train,-,0,4gzaH
23270,44473102,Q02763,dev,-,1,4k0vA
23167,5329098,Q02763,train,-,0,4k0vA
14022,2213548,Q9HC16,test,seen,0,2mzzA
41643,117925826,Q06187,train,-,1,4xi2A
38470,60164937,Q9UBN7,train,-,1,5g0iB
18906,657413,Q15056,train,-,0,2dngA
1486,9823594,P23219,train,-,0,1eqhB
3613,50914103,P56817,train,-,0,6ej3A
35420,58548325,Q9Y233,train,-,1,4dffB
35519,90645033,Q9Y233,train,-,1,4dffB
16874,58064730,P08235,train,-,1,4tntB
48849,52933545,P07333,train,-,1,4liqE
40728,84973092,P10721,train,-,1,2ec8A
55434,71237900,P43405,dev,-,1,4fl2A
3814,90412840,P56817,train,-,1,6ej3A
55159,86766742,P43405,dev,-,1,4fl2A
20548,360857,P17612,train,-,0,4ae9B
22442,666291,P53779,train,-,0,3ttjA
12237,4849353,Q15788,train,-,0,5nwxA
5777,4455348,Q04637,train,-,0,1ug3B
24437,90656759,P11309,dev,-,1,4rpvA
51200,46842383,P28223,test,seen,0,6bqhA
41062,2930528,P04406,train,-,0,1znqQ
12772,775079,P34949,train,-,0,5nw7A
12305,1078331,Q15788,train,-,0,5nwxA
20516,44385265,P06493,test,seen,1,4yc6G
44670,68996260,P31645,train,-,1,5i6zA
34980,942,Q12809,train,-,0,5va2A
33507,118365373,P28482,train,-,1,4qpaB
40304,73335824,P41594,train,-,1,3lmkB
27663,4270661,P42224,train,-,0,1yvlB
53419,91896427,P03372,dev,-,0,2ocfA
25072,71506252,P27338,test,seen,0,2c75B
49737,68004124,O00421,train,-,1,5uiwA
4619,1368253,P05186,train,-,0,4kjgB
36268,58548302,Q9Y233,train,-,1,4dffB
907,4417538,P14598,train,-,0,1kq6A
12805,442514,P34949,train,-,0,5nw7A
4169,71727483,P56817,train,-,1,6ej3A
48484,74434786,Q13946,train,-,1,4y2bA
23191,24824046,Q02763,train,-,0,4k0vA
